MARCA,MODELLO,CODICE,PREZZO,TIPO UNITA',WIFI,POTENZA,DIMENSIONI mm (AxLxP),PESO (kg),RAFFRESCAMENTO,RISCALDAMENTO,SCHEDA TECNICA,REFRIGERANTE,QUANTITA' REFRIGERANTE
HAIER,REVIVE,835688,€135,Interna,si,"2,5kW - 9000BTU",290x805x200,8,,,,,
HAIER,REVIVE,835703,€150,Interna,si,"3,5kW - 12000BTU",290x805x200,8,,,,,
HAIER,PEARL,836088,€146,Interna,si,"2,5kW - 9000BTU",320x975x220,12,,,,,
HAIER,PEARL,836090,€166,Interna,si,"3,5kW - 12000BTU",320x975x220,12,,,,,
HAIER,PEARL,764459,€259,Interna,si,"5,0kW - 18000BTU",,,,,,,
HAIER,PEARL,783641,€353,Interna,si,"6,8kW - 24000BTU",,,,,,,
HAIER,FLEXIS,730442,€266,Interna,si,"2,0kW - 7000BTU",300x856x197,10,,,,,
HAIER,FLEXIS,732350,€291,Interna,si,"2,5kW - 9000BTU",300x856x197,10,,,,,
HAIER,FLEXIS,736328,€316,Interna,si,"3,5kW - 12000BTU",,,,,,,
HAIER,FLEXIS,756534,€426,Interna,si,"4,2kQ - 15000BTU",,,,,,,
HAIER,FLEXIS,810406,€510,Interna,si,"5,0kW - 18000BTU",,,,,,,
HAIER,FLEXIS,810406,€609,Interna,si,"7,1kW - 24000BTU",,,,,,,
MITSUBISHI,HR,760295,€189,Interna,no,"2,5kW - 9000BTU",,,,,,,
MITSUBISHI,HR,760296,€213,Interna,no,"3,5kW - 12000BTU",,,,,,,
MITSUBISHI,HR,679857,€267,Interna,no,"4,2kQ - 15000BTU",,,,,,,
MITSUBISHI,HR,667317,€297,Interna,no,"5,0kW - 18000BTU",,,,,,,
MITSUBISHI,AY,834032,€370,Interna,si,"2,0kW - 7000BTU",,,,,,,
MITSUBISHI,AY,801940,€407,Interna,si,"2,5kW - 9000BTU",,,,,,,
MITSUBISHI,AY,801936,€419,Interna,si,"3,5kW - 12000BTU",,,,,,,
MITSUBISHI,AY,813624,€466,Interna,si,"4,2kQ - 15000BTU",,,,,,,
MITSUBISHI,AY,800724,€499,Interna,si,"5,0kW - 18000BTU",,,,,,,
MITSUBISHI,KIRIGAMINE STYLE,714755,€509,Interna,si,"2,5kW - 9000BTU",,,,,,,
MITSUBISHI,KIRIGAMINE STYLE,714757,€549,Interna,si,"3,5kW - 12000BTU",,,,,,,
MITSUBISHI,KIRIGAMINE STYLE,687306,€674,Interna,si,"5,0kW - 18000BTU",,,,,,,
MITSUBISHI,KIRIGAMINE ZEN,688038,€443,Interna,si,"2,5kW - 9000BTU",,,,,,,
MITSUBISHI,KIRIGAMINE ZEN,686747,€467,Interna,si,"3,5kW - 12000BTU",,,,,,,
MITSUBISHI,KIRIGAMINE ZEN,688063,€520,Interna,si,"4,2kQ - 15000BTU",,,,,,,
MITSUBISHI,KIRIGAMINE ZEN,691046,€559,Interna,si,"5,0kW - 18000BTU",,,,,,,
LG,LIBERO SMART,681154,€ 173,interna,si,"2,5kW - 9000BTU",,,,,,,
LG,LIBERO SMART,681156,€ 184,interna,si,"3,5kW - 12000BTU",,,,,,,
SAMSUNG,WINDFREE AVANT S2,878437,€ 280,Interna,si,"2,0kW - 7000BTU",,,,,,,
SAMSUNG,WINDFREE AVANT S3,878438,€ 333,Interna,si,"2,5kW - 9000BTU",,,,,,,
SAMSUNG,WINDFREE AVANT S4,878439,€ 368,Interna,si,"3,5kW - 12000BTU",,,,,,,
SAMSUNG,WINDFREE AVANT S5,878441,€ 584,Interna,si,"5,0kW - 18000BTU",,,,,,,
SAMSUNG,WINDFREE AVANT S6,878442,€ 683,Interna,si,"7,1kW - 24000BTU",,,,,,,
DAIKIN,SENSIRA,836343,€ 136,interna,si,"2,0kW - 7000BTU",,,,,,,
DAIKIN,SENSIRA,822101,€ 142,interna,si,"2,5kW - 9000BTU",,,,,,,
DAIKIN,SENSIRA,835934,€ 172,interna,si,"3,5kW - 12000BTU",,,,,,,
DAIKIN,PERFERA,836185,€ 362,interna,si,"2,0kW - 7000BTU",,,,,,,
DAIKIN,PERFERA,836187,€ 397,interna,si,"2,5kW - 9000BTU",,,,,,,
DAIKIN,PERFERA,836188,€ 458,interna,si,"3,5kW - 12000BTU",,,,,,,
DAIKIN,PERFERA,836189,€ 544,interna,si,"4,2kQ - 15000BTU",,,,,,,
DAIKIN,PERFERA,774357,€ 632,interna,si,"2,0kW - 7000BTU",,,,,,,
DAIKIN,EMURA,771324,€ 664,interna,si,"2,5kW - 9000BTU",,,,,,,
DAIKIN,EMURA,771325,€ 740,interna,si,"3,5kW - 12000BTU",,,,,,,
DAIKIN,EMURA,788114,€ 919,interna,si,"4,2kQ - 15000BTU",,,,,,,
DAIKIN,EMURA,797603,€ 1.101,interna,si,"5,0kW - 18000BTU",,,,,,,
IMMERGAS,THOR,842199,€ 133,interna,si,"2,5kW - 9000BTU",,,,,,,
IMMERGAS,THOR,842200,€ 142,interna,si,"3,5kW - 12000BTU",,,,,,,
TOSHIBA,SEIYA CLASSIC,836629,€ 166,interna,no,"2,5kW - 9000BTU",,,,,,,
TOSHIBA,SEIYA CLASSIC,836631,€ 190,interna,no,"3,5kW - 12000BTU",,,,,,,
TOSHIBA,SHORAI EDGE,814569,€ 325,interna,si,"2,0kW - 7000BTU",,,,,,,
TOSHIBA,SHORAI EDGE,812538,€ 348,interna,si,"2,5kW - 9000BTU",,,,,,,
TOSHIBA,SHORAI EDGE,814570,€ 399,interna,si,"3,5kW - 12000BTU",,,,,,,
HITACHI,AIR HOME 401,848425,135,interna,si,"2,0kW - 7000BTU",,,,,,,
HITACHI,AIR HOME 402,838081,136,interna,si,"2,5kW - 9000BTU",,,,,,,
HITACHI,AIR HOME 403,838082,150,interna,si,"3,5kW - 12000BTU",,,,,,,
HITACHI,AIR HOME 404,838083,211,interna,si,"5,0kW - 18000BTU",,,,,,,
VIESSMANN,VITOCLIMA 300,825714,180,interna,si,"2,0kW - 7000BTU",,,,,,,
VIESSMANN,VITOCLIMA 300,825461,190,interna,si,"2,5kW - 9000BTU",,,,,,,
VIESSMANN,VITOCLIMA 300,825462,200,interna,si,"3,5kW - 12000BTU",,,,,,,
INNOVA,2.0,840761,1310,Solo interna,si,"1,7kW",38,A,A+,,,R290,"0,14KG"
INNOVA,2.0,844814,1310,Solo interna,si,"2,1kW",41,A+,A+,,,R32,"0,5KG"
INNOVA,2.0,839117,1410,Solo interna,si,"2,35kW",41,A+,A+,,,R32,"0,5KG"